date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:12	58185/58185	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2026%20Jan%202014%2008:36:27%20GMT	http://cdn.bootcss.com/less.js/1.3.3/less.min.js	e:/My%20Websites/111/cdn.bootcss.com/less.js/1.3.3/less.min.js	(from http://v3.bootcss.com/customize/)
19:51:13	50962/50962	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2013%20Dec%202013%2019:42:11%20GMT	http://cdn.bootcss.com/jszip/2.0.0/jszip.js	e:/My%20Websites/111/cdn.bootcss.com/jszip/2.0.0/jszip.js	(from http://v3.bootcss.com/customize/)
19:51:14	12448/12448	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/docs-assets/js/filesaver.js	e:/My%20Websites/111/v3.bootcss.com/docs-assets/js/filesaver.js	(from http://v3.bootcss.com/customize/)
19:51:14	112583/112583	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/screenshots/offcanvas.jpg	e:/My%20Websites/111/v3.bootcss.com/examples/screenshots/offcanvas.jpg	(from http://v3.bootcss.com/getting-started/)
19:51:15	10452/10452	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/docs-assets/js/customizer.js	e:/My%20Websites/111/v3.bootcss.com/docs-assets/js/customizer.js	(from http://v3.bootcss.com/customize/)
19:51:16	50645/50645	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/docs-assets/js/uglify.js	e:/My%20Websites/111/v3.bootcss.com/docs-assets/js/uglify.js	(from http://v3.bootcss.com/customize/)
19:51:16	122848/122848	---MCZ	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/dist/css/bootstrap.css	e:/My%20Websites/111/v3.bootcss.com/dist/css/bootstrap.css	(from http://v3.bootcss.com/examples/starter-template/)
19:51:16	96/96	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/starter-template/starter-template.css	e:/My%20Websites/111/v3.bootcss.com/examples/starter-template/starter-template.css	(from http://v3.bootcss.com/examples/starter-template/)
19:51:17	422/422	---MCZ	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/grid/grid.css	e:/My%20Websites/111/v3.bootcss.com/examples/grid/grid.css	(from http://v3.bootcss.com/examples/grid/)
19:51:17	27822/27822	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/dist/js/bootstrap.min.js	e:/My%20Websites/111/v3.bootcss.com/dist/js/bootstrap.min.js	(from http://v3.bootcss.com/examples/starter-template/)
19:51:17	127/127	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/jumbotron/jumbotron.css	e:/My%20Websites/111/v3.bootcss.com/examples/jumbotron/jumbotron.css	(from http://v3.bootcss.com/examples/jumbotron/)
19:51:18	1411/1411	---MCZ	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/jumbotron-narrow/jumbotron-narrow.css	e:/My%20Websites/111/v3.bootcss.com/examples/jumbotron-narrow/jumbotron-narrow.css	(from http://v3.bootcss.com/examples/jumbotron-narrow/)
19:51:18	90/90	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202014%2013:43:39%20GMT	http://v3.bootcss.com/examples/navbar/navbar.css	e:/My%20Websites/111/v3.bootcss.com/examples/navbar/navbar.css	(from http://v3.bootcss.com/examples/navbar/)
